District,Latitude,Longitude
Al Reem Island,24.4953701,54.4052431
Yas Island,24.486404,54.6090712
Al Saadiyat Island,24.5451075,54.439748
Al Reef,24.4664366,54.6568914
Al Shamkhah,24.3783084,54.7043723
Al Hidayriyyat,24.3664565,54.409567
Khalifa City,24.4201314,54.5749535
Zayed City,23.6515354,53.7019687
Al Rahah,24.455334,54.615355
Al Faqa',24.716533,55.6216238
Al Bahyah,24.5565323,54.6641629
Al Layyan,24.7789344,54.9822374
Al Jubail Island,24.5317099,54.4861565
Fahid Island,24.5091212,54.5484835
Al Samhah,24.6660497,54.7465961
Al Maryah Island,24.5029805,54.3899732
Ghadeer Al Tayr,24.850422,54.8337429
Ain Al Faydah,24.0777418,55.7115768
Bani Yas,24.3064802,54.6348593
Mohamed Bin Zayed City,24.3403679,54.5516096
Ramhan Island,24.542926,54.52697
Ghantout,24.8830636,54.8912677
Al Khibeesi,24.2298206,55.6990031
Rimah,24.1351285,55.3262806
Rabdan,24.4054839,54.5057731
Al Muntazah,24.4301495,54.4555551
Al Jimi,24.2509558,55.7355308
Al Bateen,24.4513839,54.3379658
Madinat Al Riyad,24.3526425,54.7599877
Al Kasir,24.4801807,54.3187137
Shakhbout City,24.3594999,54.6323263
Al Sa`adah,24.4356181,54.4270609
Al Hiyar,24.5772986,55.6777057
Dihan,24.2252167,55.0143776
Central District,24.2232499,55.7717514
Mzeer'ah,24.4395484,54.4279319
Eastern Mahadir,23.0677298,54.0238946
Madinat Zayed,23.6520354,53.7046617
Al Danah,24.4852888,54.3698881
Al Dhahrah,23.9677133,55.4776436
Western Mahadir,23.0001164,53.4553521
Al 'Ajban,24.5805914,55.3538662
Al Aamerah,24.2331896,55.5543479
Hili,24.3044346,55.7751173
Zakhir,24.1280414,55.680169
Muwaylih,24.6270514,54.8012366
Al Manhal,24.4623693,54.369416
Al Muwaij'i,24.2104806,55.7115638
Bu Kirayyah,23.9379898,55.3372889
Al Mu'tarid,24.2207596,55.7416659
Al Wiqan,23.6470422,55.4255928
Al Mushrif,24.4410852,54.3842182
Al Dhahir,24.0885574,55.8500084
Al 'Arad,23.8157189,55.4041301
Al Rahbah,24.5993758,54.6918226
Hadbat Al Za`faranah,24.4439353,54.4073151
Al Salamat,24.1832529,55.5593641
Al Tiwayya,24.2512439,55.696544
Al Khaznah,24.1425564,55.1603528
Al Qurm,24.4206174,54.3970544
Al Nahyan,24.4644619,54.3868389
Al Sad,24.2208235,55.4370115
Al Sarouj,24.1982717,55.7980463
Nahil,24.479374,55.5342059
Al Markhaniyyah,24.2152158,55.6590902
Sweihan,24.3825881,55.4677429
Al 'Azeezah,23.3561256,54.0685265
'Asharij,24.1955452,55.6699489
Al Zahiyah,24.4964801,54.3794798
Al Qattarah,24.2624571,55.7568159
Al Shawamekh,24.3584117,54.6573359
Al Khatm,24.1788485,54.9839222
Al Wathbah,24.2080343,54.7040621
Al Khalidiyah,24.4693445,54.3488059
Hameem,22.9685097,54.2463677
Al Rawdah Al Sharqiyah,24.1484037,55.6553373
Al Fou'ah,24.342739,55.8079989
Al Maqam,24.1858111,55.6294236
Falaj Hazza',24.1871304,55.727019
Jarn Yafour,24.2776155,54.6035839
Al Hisn,24.4825017,54.3508472
Nourai Island,24.6146599,54.4868411
Al Qou',23.4151903,55.4293513
Al Shahamah,24.5522413,54.6809868
Al Jahili,24.2120885,55.75315
Al Falah,24.4371131,54.7118179
Al Mas'oudi,24.2842593,55.7375914
Al Muzoun,24.4079689,54.4428892
Al Nahdah,24.3155369,54.7195622
Al Sader,24.6483204,54.6846631
Ghayathi,23.8993421,52.8018261
Ni'mah,24.1176009,55.7089513
Shiab Al Ashkhar,24.1555565,55.7278806
Al `Adlah,24.3985644,54.8822336
Al Marfa,24.0875798,53.4915955
Al Rawdah,24.4179659,54.4478772
Al Bihouth,24.1872857,54.4923846
Yaw Al Nadhrah,23.5064293,52.752193
Mazyad,24.0425416,55.864853
Um Ghafah,24.0931064,55.9071321
Abu Samrah,24.2007525,55.3929677
Bu Al Dhiyab,23.2937032,53.5281365
Al Shiwayb,24.7274713,55.7701904
Mbazzarah Al Khadra,24.0972294,55.7362182
Al Sila',24.0965166,51.7520245
Shi'bat Al Wutah,24.1197585,55.7241568
Al 'Iqabiyyah,24.17559,55.6809634
Masakin,24.4266815,55.7528681
Al Mutaw'ah,24.2099957,55.7626677
Mshayrif,24.0095572,54.7587062
Musaffah,24.3657845,54.4957065
Bu Hasa,23.5315048,53.256949
Ramlat Sweihan,24.3611726,55.2553926
Al Noud,24.152564,55.8206579
Delma,24.4741547,52.316688
Ghnaymah,24.1476641,55.6296535
Al Fayah,24.3368515,54.996716
Abu Qrayn,23.2360044,54.6012888
Al Sout,23.7154591,54.7019234
Khalifa Industrial,24.6965771,54.8941293
Al Nabbagh,24.3053771,55.6882139
Al Ma`mourah,24.7753951,54.7236592
Abu Dhabi Industrial City,24.2792374,54.4648394
Al `Asheesh,24.3437488,54.8835923
Al Ras Al Akhdar,24.4621308,54.3101907
Niqa Al Dheeb,24.5080624,55.1836372
Al Hanyourah,24.7215124,54.6352768
Bad' Al Mutaw'ah,23.8148952,52.5445023
Jabal Hafeet,24.0684952,55.7693411
Abu Mreikhah,24.5878191,54.726008
Al Nouf,24.2540345,54.1151254
Ujaij,24.5751061,54.615414
Al Taf Al Gharbi,23.9819731,53.5572995
