year,area_name_en,room_id,median_annual_rent,min_annual_rent,max_annual_rent,median_transaction_amount,rental_yield_percentage,rooms_en
2026.0,Al Barsha First,1.0,64000.0,35000,125000,1100000.0,6.0,1 BHK
2026.0,Al Barsha First,2.0,85000.0,40000,130000,1440000.0,6.0,2 BHK
2026.0,Al Barsha South Fifth,0.0,45000.0,35000,70500,777500.0,6.0,Studio
2026.0,Al Barsha South Fifth,1.0,75000.0,51975,135000,1178233.0,6.0,1 BHK
2026.0,Al Barsha South Fifth,2.0,97500.0,68250,230000,1650000.0,6.0,2 BHK
2026.0,Al Barsha South Fifth,3.0,110000.0,110000,110000,2557000.0,4.0,3 BHK
2026.0,Al Barsha South Fourth,0.0,50000.0,33500,100000,670000.0,7.0,Studio
2026.0,Al Barsha South Fourth,1.0,70761.0,40000,135000,1014000.0,7.0,1 BHK
2026.0,Al Barsha South Fourth,2.0,91500.0,62000,15120000,1565880.0,6.0,2 BHK
2026.0,Al Barsha South Fourth,3.0,138864.0,94875,205000,1690143.0,8.0,3 BHK
2026.0,Al Barshaa South Second,0.0,53500.0,42000,60000,895067.0,6.0,Studio
2026.0,Al Barshaa South Second,1.0,72000.0,52000,115000,1630998.5,4.0,1 BHK
2026.0,Al Barshaa South Second,2.0,105000.0,54783,175000,2475000.0,4.0,2 BHK
2026.0,Al Barshaa South Second,3.0,300000.0,300000,300000,3631232.0,8.0,3 BHK
2026.0,Al Barshaa South Third,0.0,50000.0,25000,660000,743074.0,7.0,Studio
2026.0,Al Barshaa South Third,1.0,70000.0,35000,108830,1193300.0,6.0,1 BHK
2026.0,Al Barshaa South Third,2.0,93000.0,59513,150000,1463605.0,6.0,2 BHK
2026.0,Al Barshaa South Third,3.0,185000.0,155000,190000,2407362.0,8.0,3 BHK
2026.0,Al Goze Fourth,0.0,39000.0,25500,66000,468000.0,8.0,Studio
2026.0,Al Goze Fourth,1.0,52025.5,28500,95000,945000.0,6.0,1 BHK
2026.0,Al Goze Fourth,2.0,56657.5,36000,105000,1250000.0,5.0,2 BHK
2026.0,Al Hebiah Fifth,0.0,45600.0,36390,72000,465000.0,10.0,Studio
2026.0,Al Hebiah Fifth,1.0,57000.0,39500,70000,1167180.0,5.0,1 BHK
2026.0,Al Hebiah Fifth,2.0,82000.0,74382,105000,1250000.0,7.0,2 BHK
2026.0,Al Hebiah Fifth,3.0,114713.0,88935,162000,1480000.0,8.0,3 BHK
2026.0,Al Hebiah First,0.0,56000.0,42363,64000,820879.5,7.0,Studio
2026.0,Al Hebiah First,1.0,77500.0,62000,86000,1170827.0,7.0,1 BHK
2026.0,Al Hebiah First,2.0,115000.0,85000,130000,1740000.0,7.0,2 BHK
