,year,area_name_en,room_id,median_annual_rent,min_annual_rent,max_annual_rent,median_transaction_amount,rental_yield_percentage,rooms_en
0,2026,Al Barsha First,0,55000.0,33000.0,140000.0,750000.0,7.0,Studio
1,2026,Al Barsha First,1,67000.0,32000.0,220000.0,1870758.0,4.0,1 BHK
2,2026,Al Barsha First,2,85000.0,40000.0,155000.0,2805894.0,3.0,2 BHK
3,2026,Al Barsha First,3,113620.0,76707.0,250000.0,4075111.0,3.0,3 BHK
4,2026,Al Barsha South Fifth,0,50000.0,32600.0,90000.0,777500.0,6.0,Studio
5,2026,Al Barsha South Fifth,1,75000.0,36000.0,125000.0,1178233.0,6.0,1 BHK
6,2026,Al Barsha South Fifth,2,87575.0,48000.0,160000.0,1650000.0,5.0,2 BHK
7,2026,Al Barsha South Fifth,3,125000.0,76650.0,195000.0,2557000.0,5.0,3 BHK
8,2026,Al Barsha South Fourth,0,52000.0,32000.0,130000.0,670000.0,8.0,Studio
9,2026,Al Barsha South Fourth,1,73500.0,34000.0,150000.0,1014000.0,7.0,1 BHK
10,2026,Al Barsha South Fourth,2,90000.0,47000.0,1010323.0,1565880.0,6.0,2 BHK
11,2026,Al Barsha South Fourth,3,139000.0,64500.0,210000.0,1690143.0,8.0,3 BHK
12,2026,Al Barshaa South Second,0,50000.0,32025.0,108000.0,900283.5,6.0,Studio
13,2026,Al Barshaa South Second,1,70000.0,50715.0,125000.0,1630998.5,4.0,1 BHK
14,2026,Al Barshaa South Second,2,115000.0,51923.0,175000.0,2350000.0,5.0,2 BHK
15,2026,Al Barshaa South Second,3,170000.0,92000.0,187500.0,3612548.5,5.0,3 BHK
16,2026,Al Barshaa South Third,0,50400.0,25000.0,660000.0,740000.0,7.0,Studio
17,2026,Al Barshaa South Third,1,69000.0,33880.0,150000.0,1177304.5,6.0,1 BHK
18,2026,Al Barshaa South Third,2,88000.0,48400.0,160000.0,1463605.0,6.0,2 BHK
19,2026,Al Barshaa South Third,3,150500.0,70245.0,195000.0,2407362.0,6.0,3 BHK
20,2026,Al Goze Fourth,0,37000.0,31762.0,80000.0,468000.0,8.0,Studio
21,2026,Al Goze Fourth,1,50000.0,34154.0,130000.0,945000.0,5.0,1 BHK
22,2026,Al Goze Fourth,2,62999.0,44160.0,160000.0,1250000.0,5.0,2 BHK
23,2026,Al Hebiah Fifth,0,45000.0,31740.0,72000.0,737000.0,6.0,Studio
24,2026,Al Hebiah Fifth,1,56700.0,33075.0,100000.0,1278000.0,4.0,1 BHK
25,2026,Al Hebiah Fifth,2,77792.0,47463.0,156000.0,1885000.0,4.0,2 BHK
26,2026,Al Hebiah Fifth,3,95307.405,72000.0,117000.0,1480000.0,6.0,3 BHK
27,2026,Al Hebiah First,0,53500.0,32232.09,64000.0,815999.0,7.0,Studio
28,2026,Al Hebiah First,1,66990.0,35203.55,110000.0,1258248.0,5.0,1 BHK
29,2026,Al Hebiah First,2,85000.0,45243.24,160000.0,1952293.5,4.0,2 BHK
30,2026,Al Hebiah First,3,120000.0,72000.0,210000.0,1880000.0,6.0,3 BHK
31,2026,Al Hebiah Fourth,0,42000.0,25000.0,80000.0,722070.0,6.0,Studio
32,2026,Al Hebiah Fourth,1,57818.18,33000.0,110000.0,1069835.0,5.0,1 BHK
33,2026,Al Hebiah Fourth,2,78000.0,45000.0,150000.0,1544760.0,5.0,2 BHK
34,2026,Al Hebiah Fourth,3,93000.0,70500.0,165000.0,2071888.0,4.0,3 BHK
35,2026,Al Hebiah Second,0,48000.0,32000.0,90000.0,569525.0,8.0,Studio
36,2026,Al Hebiah Second,1,70000.0,50000.0,100000.0,1028538.0,7.0,1 BHK
37,2026,Al Hebiah Second,2,90000.0,66150.0,140000.0,1274423.0,7.0,2 BHK
38,2026,Al Hebiah Sixth,2,118095.24,94491.98,130000.0,1305000.0,9.0,2 BHK
39,2026,Al Hebiah Sixth,3,150000.0,150000.0,150000.0,2200000.0,7.0,3 BHK
40,2026,Al Hebiah Third,0,50000.0,33000.0,77791.0,572500.0,9.0,Studio
41,2026,Al Hebiah Third,1,75000.0,44000.0,115000.0,1085500.0,7.0,1 BHK
42,2026,Al Hebiah Third,2,128000.0,60000.0,160000.0,2000000.0,6.0,2 BHK
43,2026,Al Hebiah Third,3,175100.0,134000.0,192000.0,2596573.0,7.0,3 BHK
44,2026,Al Jadaf,0,58000.0,36960.0,150000.0,872999.0,7.0,Studio
45,2026,Al Jadaf,1,70216.0,39600.0,200000.0,1429000.0,5.0,1 BHK
46,2026,Al Jadaf,2,89010.0,50000.0,300000.0,2036100.0,4.0,2 BHK
47,2026,Al Jadaf,3,132000.0,68200.0,265000.0,3394999.0,4.0,3 BHK
48,2026,Al Khairan First,1,100000.0,39892.76,180000.0,1938888.0,5.0,1 BHK
49,2026,Al Khairan First,2,140000.0,47333.33,215000.0,3326888.0,4.0,2 BHK
50,2026,Al Khairan First,3,180834.0,110000.0,360000.0,4507388.0,4.0,3 BHK
51,2026,Al Kheeran,0,42000.0,33075.0,46000.0,1180000.0,4.0,Studio
52,2026,Al Kheeran,1,44000.0,32650.0,130000.0,2169000.0,2.0,1 BHK
53,2026,Al Kheeran,2,130000.0,50285.71,205000.0,2401317.0,5.0,2 BHK
54,2026,Al Kheeran,3,171000.0,110000.0,223650.0,2477500.0,7.0,3 BHK
55,2026,Al Kifaf,1,106500.0,85000.0,126000.0,1662500.0,6.0,1 BHK
56,2026,Al Kifaf,2,143000.0,80000.0,160000.0,2537777.0,6.0,2 BHK
57,2026,Al Kifaf,3,177000.0,140000.0,230000.0,3743000.0,5.0,3 BHK
58,2026,Al Merkadh,0,60000.0,35000.0,230000.0,700000.0,9.0,Studio
59,2026,Al Merkadh,1,100000.0,60000.0,220000.0,1275000.0,8.0,1 BHK
60,2026,Al Merkadh,2,146500.0,80000.0,185000.0,2148000.0,7.0,2 BHK
61,2026,Al Merkadh,3,185000.0,76000.0,270000.0,4000000.0,5.0,3 BHK
62,2026,Al Merkadh,4,189000.0,189000.0,189000.0,7411439.0,3.0,4 BHK
63,2026,Al Qusais Industrial Fourth,0,45000.0,28000.0,70000.0,360255.5,12.0,Studio
64,2026,Al Safouh First,0,49000.0,44000.0,75000.0,775000.0,6.0,Studio
65,2026,Al Safouh First,2,100000.0,82500.0,130000.0,2241000.0,4.0,2 BHK
66,2026,Al Safouh First,3,172500.0,85662.0,180000.0,3800000.0,5.0,3 BHK
67,2026,Al Safouh Second,1,85592.0,75246.0,168000.0,3074097.5,3.0,1 BHK
68,2026,Al Safouh Second,2,140000.0,92250.0,160000.0,5303329.0,3.0,2 BHK
69,2026,Al Safouh Second,3,175000.0,107343.93,230000.0,6453000.0,3.0,3 BHK
70,2026,Al Satwa,0,55000.0,33000.0,155000.0,1032454.0,5.0,Studio
71,2026,Al Satwa,1,75000.0,35000.0,224000.0,1595527.99,5.0,1 BHK
72,2026,Al Satwa,2,95400.0,47000.0,200000.0,2257144.0,4.0,2 BHK
73,2026,Al Satwa,3,136000.0,80000.0,263531.22,3751650.0,4.0,3 BHK
74,2026,Al Thanyah Fifth,0,60000.0,33000.0,720000.0,750000.0,8.0,Studio
75,2026,Al Thanyah Fifth,1,85000.0,36000.0,195000.0,1490000.0,6.0,1 BHK
76,2026,Al Thanyah Fifth,2,120000.0,45000.0,350000.0,3031828.0,4.0,2 BHK
77,2026,Al Thanyah Fifth,3,179000.0,91300.0,250000.0,2500000.0,7.0,3 BHK
78,2026,Al Thanyah Fifth,4,122000.0,122000.0,122000.0,14893828.0,1.0,4 BHK
79,2026,Al Thanyah First,2,85995.0,48000.0,173250.0,1100000.0,8.0,2 BHK
80,2026,Al Thanyah Third,0,65000.0,48500.0,86000.0,672000.0,10.0,Studio
81,2026,Al Thanyah Third,1,95000.0,36000.0,173333.33,1400000.0,7.0,1 BHK
82,2026,Al Thanyah Third,2,135000.0,70000.0,210000.0,2405000.0,6.0,2 BHK
83,2026,Al Thanyah Third,3,183375.0,62068.97,300000.0,4125000.0,4.0,3 BHK
84,2026,Al Warsan First,0,34000.0,9023.0,129150.0,350000.0,10.0,Studio
85,2026,Al Warsan First,1,42000.0,10000.0,225000.0,462500.0,9.0,1 BHK
86,2026,Al Warsan First,2,58000.0,20000.0,168000.0,1280000.0,5.0,2 BHK
87,2026,Al Warsan First,3,73000.0,63945.0,225000.0,1500000.0,5.0,3 BHK
88,2026,Al Wasl,1,106300.0,55000.0,234000.0,2749000.0,4.0,1 BHK
89,2026,Al Wasl,2,125000.0,50000.0,300000.0,4014500.0,3.0,2 BHK
90,2026,Al Wasl,3,204999.2,70350.0,270000.0,7731000.0,3.0,3 BHK
91,2026,Al Wasl,4,179300.0,179300.0,179300.0,16597000.0,1.0,4 BHK
92,2026,Al Yelayiss 2,0,54000.0,29400.0,85000.0,560000.0,10.0,Studio
93,2026,Al Yelayiss 2,1,72500.0,38000.0,135000.0,1106888.0,7.0,1 BHK
94,2026,Al Yelayiss 2,2,100000.0,47500.0,155000.0,1550000.0,6.0,2 BHK
95,2026,Al Yelayiss 2,3,117324.04000000001,87864.0,136500.0,2272944.0,5.0,3 BHK
96,2026,Bukadra,2,95000.0,85050.0,125000.0,2726107.0,3.0,2 BHK
97,2026,Bukadra,3,82500.0,82500.0,110000.0,4210426.0,2.0,3 BHK
98,2026,Burj Khalifa,0,82000.0,35460.0,140000.0,1139000.0,7.0,Studio
99,2026,Burj Khalifa,1,126458.6,36000.0,260000.0,1855318.5,7.0,1 BHK
100,2026,Burj Khalifa,2,140000.0,55000.0,600000.0,3050000.0,5.0,2 BHK
101,2026,Burj Khalifa,3,215000.0,100000.0,400000.0,4350000.0,5.0,3 BHK
102,2026,Business Bay,0,75000.0,29750.0,155000.0,1100000.0,7.0,Studio
103,2026,Business Bay,1,98812.5,36601.07,240000.0,2266184.0,4.0,1 BHK
104,2026,Business Bay,2,125000.0,49732.62,252000.0,3044828.0,4.0,2 BHK
105,2026,Business Bay,3,170000.0,72000.0,345000.0,1923656.0,9.0,3 BHK
106,2026,Business Bay,4,190000.0,190000.0,190000.0,13562772.0,1.0,4 BHK
107,2026,Dubai Investment Park First,0,38000.0,26504.0,236400.0,364800.0,10.0,Studio
108,2026,Dubai Investment Park First,1,60000.0,34000.0,244000.0,585505.0,10.0,1 BHK
109,2026,Dubai Investment Park First,2,75037.5,45000.0,244000.0,1322800.0,6.0,2 BHK
110,2026,Dubai Investment Park First,3,91150.0,63000.0,230000.0,902500.0,10.0,3 BHK
111,2026,Dubai Investment Park Second,0,39000.0,28981.0,259875.0,800500.0,5.0,Studio
112,2026,Dubai Investment Park Second,1,52000.0,34000.0,84000.0,1278500.0,4.0,1 BHK
113,2026,Dubai Investment Park Second,2,75000.0,43890.0,114000.0,2093000.0,4.0,2 BHK
114,2026,Hadaeq Sheikh Mohammed Bin Rashid,0,70000.0,40000.0,120000.0,838650.0,8.0,Studio
115,2026,Hadaeq Sheikh Mohammed Bin Rashid,1,105000.0,36000.0,195000.0,1770888.0,6.0,1 BHK
116,2026,Hadaeq Sheikh Mohammed Bin Rashid,2,150000.0,50000.0,280000.0,2714888.0,6.0,2 BHK
117,2026,Hadaeq Sheikh Mohammed Bin Rashid,3,200000.0,132000.0,360000.0,4630888.0,4.0,3 BHK
118,2026,Hessyan First,0,35000.0,31973.0,47000.0,400000.0,9.0,Studio
119,2026,Island 2,1,790000.0,790000.0,790000.0,8000000.0,10.0,1 BHK
120,2026,Island 2,2,1150000.0,1150000.0,1150000.0,16475500.0,7.0,2 BHK
121,2026,Jabal Ali,0,32000.0,32000.0,32000.0,515000.0,6.0,Studio
122,2026,Jabal Ali,1,55800.0,55800.0,55800.0,730000.0,8.0,1 BHK
123,2026,Jabal Ali First,0,44849.0,16500.0,84000.0,674645.5,7.0,Studio
124,2026,Jabal Ali First,1,63000.0,33817.0,114000.0,1228881.0,5.0,1 BHK
125,2026,Jabal Ali First,2,78000.0,44550.0,600000.0,1720000.0,5.0,2 BHK
126,2026,Jabal Ali First,3,89398.0,63000.0,170000.0,2443000.0,4.0,3 BHK
127,2026,Jabal Ali Industrial Second,0,50000.0,38720.0,70000.0,530000.0,9.0,Studio
128,2026,Jabal Ali Industrial Second,1,65000.0,40950.0,85000.0,739000.0,9.0,1 BHK
129,2026,Jabal Ali Industrial Second,2,89000.0,55000.0,120000.0,1507004.5,6.0,2 BHK
130,2026,Jabal Ali Industrial Second,3,120000.0,110000.0,120000.0,1193114.0,10.0,3 BHK
131,2026,Jumeirah First,1,115000.0,57000.0,210000.0,2327500.0,5.0,1 BHK
132,2026,Jumeirah First,2,119614.5,67200.0,300000.0,4850000.0,2.0,2 BHK
133,2026,Jumeirah First,3,191500.0,80000.0,270000.0,23654000.0,1.0,3 BHK
134,2026,Jumeirah Second,2,122194.5,103084.0,160000.0,18977509.17,1.0,2 BHK
135,2026,Madinat Al Mataar,0,43000.0,20000.0,60000.0,599000.0,7.0,Studio
136,2026,Madinat Al Mataar,1,60000.0,33557.53,150000.0,1228828.0,5.0,1 BHK
137,2026,Madinat Al Mataar,2,90000.0,44000.0,150000.0,1990000.0,5.0,2 BHK
138,2026,Madinat Al Mataar,3,124998.0,66000.0,170000.0,2410828.0,5.0,3 BHK
139,2026,Madinat Al Mataar,4,95000.0,95000.0,95000.0,8878000.0,1.0,4 BHK
140,2026,Madinat Dubai Almelaheyah,0,70000.0,64825.74,84000.0,1389500.0,5.0,Studio
141,2026,Madinat Dubai Almelaheyah,1,61215.0,42000.0,230000.0,2528000.0,2.0,1 BHK
142,2026,Madinat Dubai Almelaheyah,2,79380.0,56000.0,160000.0,4138690.0,2.0,2 BHK
143,2026,Madinat Dubai Almelaheyah,3,103950.0,65000.0,204391.69,6615888.0,2.0,3 BHK
144,2026,Madinat Hind 4,0,42000.0,32550.0,64000.0,450000.0,9.0,Studio
145,2026,Madinat Hind 4,1,56423.59,34100.0,65000.0,663000.0,9.0,1 BHK
146,2026,Madinat Hind 4,2,68000.0,54778.12,78000.0,1311000.0,5.0,2 BHK
147,2026,Marsa Dubai,0,70000.0,32680.85,180000.0,1150000.0,6.0,Studio
148,2026,Marsa Dubai,1,95000.0,5000.0,320000.0,2322500.0,4.0,1 BHK
149,2026,Marsa Dubai,2,127000.0,10000.0,525000.0,4108000.0,3.0,2 BHK
150,2026,Marsa Dubai,3,185000.0,48000.0,540000.0,9106652.26,2.0,3 BHK
151,2026,Marsa Dubai,4,130000.0,130000.0,130000.0,16250000.0,1.0,4 BHK
152,2026,Me'Aisem First,0,42000.0,16000.0,100000.0,650418.0,6.0,Studio
153,2026,Me'Aisem First,1,68000.0,33000.0,156000.0,1049400.0,6.0,1 BHK
154,2026,Me'Aisem First,2,110000.0,40000.0,160000.0,1435866.0,8.0,2 BHK
155,2026,Me'Aisem First,3,180000.0,72000.0,240000.0,1862600.0,10.0,3 BHK
156,2026,Mirdif,0,48755.0,36750.0,80000.0,671049.0,7.0,Studio
157,2026,Mirdif,1,52877.0,36855.0,97000.0,985000.0,5.0,1 BHK
158,2026,Mirdif,2,67159.0,47000.0,140000.0,1785000.0,4.0,2 BHK
159,2026,Mirdif,3,90956.0,66550.0,144611.0,2468002.5,4.0,3 BHK
160,2026,Muhaisanah First,1,80000.0,50000.0,95000.0,1150000.0,7.0,1 BHK
161,2026,Muhaisanah First,2,105750.0,64680.0,140000.0,1840000.0,6.0,2 BHK
162,2026,Muhaisanah First,3,157500.0,145000.0,170000.0,1652500.0,10.0,3 BHK
163,2026,Nad Al Hamar,1,49500.0,34000.0,81000.0,893000.0,6.0,1 BHK
164,2026,Nad Al Hamar,2,68527.0,44000.0,340000.0,1320000.0,5.0,2 BHK
165,2026,Nad Al Shiba First,1,80000.0,54600.0,110000.0,1562789.5,5.0,1 BHK
166,2026,Nad Al Shiba First,2,120000.0,30000.0,195000.0,2447000.0,5.0,2 BHK
167,2026,Nad Al Shiba First,3,120560.0,90840.0,195000.0,6300000.0,2.0,3 BHK
168,2026,Nadd Hessa,0,42000.0,23500.0,90000.0,550000.0,8.0,Studio
169,2026,Nadd Hessa,1,55000.0,33396.0,140000.0,726150.0,8.0,1 BHK
170,2026,Nadd Hessa,2,75000.0,44440.0,919800.0,1450000.0,5.0,2 BHK
171,2026,Nadd Hessa,3,93856.0,66250.0,170000.0,2069100.0,5.0,3 BHK
