area_id,area_name_en,Latitude,Longitude
231,Al Mamzer,25.298,55.352
232,Mirdif,25.226,55.419
233,Hor Al Anz,25.278,55.335
234,Hor Al Anz East,25.281,55.347
235,Eyal Nasser,25.273,55.304
238,Al Dhagaya,25.271,55.297
239,Al Baraha,25.277,55.312
240,Port Saeed,25.257,55.334
242,Al Ras,25.269,55.294
244,Al Murqabat,25.264,55.326
249,Al Muteena,25.272,55.319
255,Rega Al Buteen,25.253,55.321
264,Nad Al Hamar,25.196,55.385
266,Al Satwa,25.213,55.273
267,Al Raffa,25.258,55.289
269,Al Hamriya,25.259,55.307
271,Al Karama,25.242,55.303
276,Al Bada,25.219,55.268
278,Mankhool,25.248,55.295
297,Al Warqa First,25.176,55.421
301,Al Nahda Second,25.292,55.378
305,AL QUSAIS,25.272,55.387
317,Jumeirah First,25.219,55.256
320,Al Qusais Industrial Second,25.293,55.398
323,Al Qusais Industrial Fifth,25.279,55.409
325,Um Hurair First,25.25,55.311
329,Trade Center Second,25.213,55.281
330,Marsa Dubai,25.081,55.144
333,Madinat Dubai Almelaheyah,25.093,55.15
334,Al Jadaf,25.219,55.329
335,Nad Al Shiba First,25.158,55.33
339,Al Mararr,25.275,55.304
341,Trade Center First,25.217,55.278
342,Ras Al Khor Industrial Third,25.181,55.361
343,Al Warsan First,25.161,55.405
348,Al Goze Fourth,25.143,55.252
350,Al Thanyah Fifth,25.071,55.218
351,Al Thanyah Third,25.088,55.232
355,Al Nahda First,25.285,55.368
356,Al Rega,25.261,55.32
357,AL TWAR FIFTH,25.274,55.402
361,Muhaisanah Fourth,25.263,55.419
362,Naif,25.272,55.308
363,Al Qusais Industrial First,25.285,55.394
364,Al Wasl,25.203,55.258
365,Al Hudaiba,25.239,55.275
367,Al Suq Al Kabeer,25.263,55.293
368,Al Barsha First,25.114,55.201
372,Al Goze Industrial Second,25.141,55.232
378,Al Garhoud,25.236,55.347
388,Oud Metha,25.234,55.312
390,Burj Khalifa,25.197,55.274
409,Al Barshaa South Third,25.059,55.238
410,Palm Jumeirah,25.112,55.138
412,Al Merkadh,25.165,55.307
435,Al Hebiah Fourth,25.042,55.234
437,Al Kheeran,25.185,55.34
441,Al Barsha South Fourth,"25.0550,55.2280",
442,Al Barsha South Fifth,25.042,55.247
443,Al Thanyah First,25.06,55.147
444,Al Hebiah First,25.043,55.207
445,Jabal Ali First,25.011,55.11
447,Al Khairan First,25.181,55.352
451,Al Hebiah Fifth,25.029,55.224
458,Dubai Investment Park First,24.975,55.183
459,Dubai Investment Park Second,24.985,55.165
462,Madinat Al Mataar,24.891,55.158
464,Wadi Al Safa 2,25.097,55.378
465,Wadi Al Safa 3,25.078,55.352
467,Wadi Al Safa 5,25.093,55.395
482,Hadaeq Sheikh Mohammed Bin Rashid,25.131,55.295
483,Warsan Fourth,25.155,55.419
484,Nadd Hessa,25.121,55.371
485,Me'Aisem First,25.035,55.188
507,Al Yelayiss 2,24.938,55.197
523,Al Hebiah Third,25.055,55.215
526,Business Bay,25.185,55.275
